gl_account,gl_description,account_name,account_number,bank,branch_of_account
1101113,BDO - SMG (9091),BEBANG ENTERPRISE INC,2818019091,BDO,SHAW BLVD – STANFORD
1101103,BDO - H.O (9164),BEBANG ENTERPRISE INC,2818019164,BDO,SHAW BLVD – STANFORD
1101117,BDO - SMS (9180),BEBANG ENTERPRISE INC,2818019180,BDO,SHAW BLVD – STANFORD
1101133,BDO - BFHP (2483),BEBANG BF HOMES INC,2818022483,BDO,SHAW BLVD – STANFORD
1101131,BDO - FMA (2335),BEBANG FESTIVAL INC,2818022335,BDO,SHAW BLVD – STANFORD
1101118,BDO - AFT (0030),BEBANG FT INC,2818020030,BDO,SHAW BLVD – STANFORD
1101124,BDO - SGC (1096),BEBANG GRAND CENTRAL INC,2818021096,BDO,SHAW BLVD – STANFORD
1101121,BDO - LCT (0189),BEBANG LCT INC,2818020189,BDO,SHAW BLVD – STANFORD
1101114,BDO - AMM (9199),BEBANG MARKET MARKET INC,2818019199,BDO,SHAW BLVD – STANFORD
1101112,BDO - SMG (1118),BEBANG MEGA INC,2818021118,BDO,SHAW BLVD – STANFORD
1101135,BDO - SMT (2491),BEBANG MEGA INC (SM TANZA),2818022491,BDO,SHAW BLVD – STANFORD
1101119,BDO - SMNE (0057),BEBANG NORTH EDSA INC,2818020057,BDO,SHAW BLVD – STANFORD
1101126,BDO - PC (1053),BEBANG PASEO INC,2818021053,BDO,SHAW BLVD – STANFORD
1101122,BDO - RPA (0197),BEBANG ROBINSONS ANTIPOLO INC,2818020197,BDO,SHAW BLVD – STANFORD
1101110,BDO - CMSSRY (9113),BEBANG SHAW INC,2818019113,BDO,SHAW BLVD – STANFORD
1101125,BDO - SMK (1088),BEBANG SM MARIKINA INC,2818021088,BDO,SHAW BLVD – STANFORD
1101116,BDO - SMS (0235),BEBANG SM SOUTHMALL INC,2818020235,BDO,SHAW BLVD – STANFORD
1101129,BDO - SME (1045),BEBANG SMEO INC,2818021045,BDO,SHAW BLVD – STANFORD
1101115,BDO - SMNL (0049),BEBANG SMM INC,2818020049,BDO,SHAW BLVD – STANFORD
1101132,BDO - SMOA (1207),BEBANG SMOA INC,2818021207,BDO,SHAW BLVD – STANFORD
1101120,BDO - SMV (0162),BEBANG SMV INC,2818020162,BDO,SHAW BLVD – STANFORD
1101123,BDO - TTE (0227),BEBANG STARMALL ALABANG INC,2818020227,BDO,SHAW BLVD – STANFORD
1101130,BDO - VGC (1061),BEBANG VENICE GRAND CANAL INC,2818021061,BDO,SHAW BLVD – STANFORD
1101134,BDO - SJDM (2505),JL TRADE OPC,2818022505,BDO,SHAW BLVD – STANFORD
1101138,BDO - SMB (2564),BEBANG SM BICUTAN INC,2818022564,BDO,SHAW BLVD – STANFORD
1101137,BDO - SMRL (2548),BEBANG MARILAO INC,2818022548,BDO,SHAW BLVD – STANFORD
1101136,BDO - SMSNDN (2521),TUNGSTEN CAPITAL HOLDINGS OPC (SM SANGANDAAN),2818022521,BDO,SHAW BLVD – STANFORD
1101139,BDO - SMC (2556),TAJ FOOD CORP (SM CALOOCAN),2818022556,BDO,SHAW BLVD – STANFORD
1101141,BDO - UPTC (2645),BEBANG UP TOWN CENTER INC,2818022645,BDO,SHAW BLVD – STANFORD
1101146,BDO - AS2 (3161),HFFM SOLENAD FOOD SERVICES INC,2818023161,BDO,SHAW BLVD – STANFORD
